,business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity
10,OPERATIONAL,"{'location': {'lat': 38.7673598, 'lng': -9.1537241}, 'viewport': {'northeast': {'lat': 38.76878232989272, 'lng': -9.152392970107279}, 'southwest': {'lat': 38.76608267010728, 'lng': -9.155092629892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Unidogs Petgrooming,{'open_now': True},,ChIJL8vOEnozGQ0RxeTh4vai9bk,"{'compound_code': 'QR8W+WG Lisbon', 'global_code': '8CCGQR8W+WG'}",5.0,ChIJL8vOEnozGQ0RxeTh4vai9bk,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",6,"R. António Lopes Ribeiro 7A, Lisboa"
11,OPERATIONAL,"{'location': {'lat': 38.7036072, 'lng': -9.1969777}, 'viewport': {'northeast': {'lat': 38.70490062989273, 'lng': -9.195629020107278}, 'southwest': {'lat': 38.70220097010728, 'lng': -9.198328679892722}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,PETAjuda Petshop,{'open_now': True},"[{'height': 1605, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111142712402994594517"">A Google User</a>'], 'photo_reference': 'AeJbb3d4MgKVQziswsl_XA3py34HjD6A_idECfrvXpcrjSZ83XDPydHZYATlwEEEbsLGE6y0W90EkdJPw_B23cXdJOFqU4NIbtCEwLhpvbPdUx-f4R4jry1am8EiCL7DSxFbkyja9L6OQdDYzf4SsCSu8_MRPQMvWuj9bQDXUXlVvV-p8vDG', 'width': 904}]",ChIJI2zla2HLHg0R1cDOR9pon_8,"{'compound_code': 'PR33+C6 Lisbon', 'global_code': '8CCGPR33+C6'}",5.0,ChIJI2zla2HLHg0R1cDOR9pon_8,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",2,"Tv. da Boa Hora à Ajuda 30H, Lisboa"
12,OPERATIONAL,"{'location': {'lat': 38.7431805, 'lng': -9.142036599999999}, 'viewport': {'northeast': {'lat': 38.74449647989272, 'lng': -9.140683870107278}, 'southwest': {'lat': 38.74179682010728, 'lng': -9.143383529892722}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Doggie | Pet Shop 🐶 😻 🐾,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106460658095713648235"">A Google User</a>'], 'photo_reference': 'AeJbb3ebfy4_pyXQJr-SH06bH9PWx3CYr-4AzZhk8tx2bn5AZre5k4SgXmJ3b2iUGsVCepXvgFD3MYo_uVB-x-KmlRGVY90QcalKLjxcVIpx_aRlXHFjlTJsdJHwN0GY-Sw13nOlAUvXXJeWgEZ68PvCZCgDGWml-SgQRGqmiZYCuWwYmlBh', 'width': 4000}]",ChIJfbd8vu4zGQ0Rn0IcQrMt7WE,"{'compound_code': 'PVV5+75 Lisbon', 'global_code': '8CCGPVV5+75'}",4.9,ChIJfbd8vu4zGQ0Rn0IcQrMt7WE,GOOGLE,"['store', 'point_of_interest', 'establishment']",41,"Av. Óscar Monteiro Torres 29C, Lisboa"
13,OPERATIONAL,"{'location': {'lat': 38.7339989, 'lng': -9.1426349}, 'viewport': {'northeast': {'lat': 38.73536587989273, 'lng': -9.141288670107281}, 'southwest': {'lat': 38.73266622010728, 'lng': -9.143988329892725}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Petblue 2,{'open_now': True},"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112430540292781397678"">A Google User</a>'], 'photo_reference': 'AeJbb3eEvgZRCAfgoAiL466W2ShfjfApMh07zICfeg1tOjEEwKixUiXHlgHu6CVlQnZsLTs1H__k9i6Q37Ttw1GETHTCSu5EsJqUT47bLidmUuh3sfUgtlz0A9Bl2aTtwhKU6_WKl9nXI4HtVNCk93VIOpEG9Jw_4eRI43Wcx5LQmg9V4wHp', 'width': 2160}]",ChIJDULsFiwzGQ0RGqnolfz1FN4,"{'compound_code': 'PVM4+HW Lisbon', 'global_code': '8CCGPVM4+HW'}",5.0,ChIJDULsFiwzGQ0RGqnolfz1FN4,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",1,"Av. Praia da Vitória 15A, Lisboa"
14,OPERATIONAL,"{'location': {'lat': 38.7500653, 'lng': -9.1950494}, 'viewport': {'northeast': {'lat': 38.75138272989272, 'lng': -9.193753420107278}, 'southwest': {'lat': 38.74868307010727, 'lng': -9.196453079892722}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,PetOutlet-Benfica,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101748858699421217104"">Mariana Domingos</a>'], 'photo_reference': 'AeJbb3c6TZHu8dCxw81N4zRmA97rEiYMH5h1E82YsmRJGsAIlZV7bQU7K6g4fRM89FbP5IassoGb5dhUJGbuzArIx_boNX_FotYDkTUr4tncP1ypDBEdxgixA7pHEJc08lW40RAz2W9Nl4EmZcG02CnrS7t6E6410g75EMlBdOxpE0lozuIl', 'width': 1960}]",ChIJF-Sm1sDNHg0RNNYP1WC8od8,"{'compound_code': 'QR23+2X Lisbon', 'global_code': '8CCGQR23+2X'}",4.6,ChIJF-Sm1sDNHg0RNNYP1WC8od8,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",125,"Estr. de Benfica 496A, Lisboa"
15,OPERATIONAL,"{'location': {'lat': 38.7172979, 'lng': -9.121846699999999}, 'viewport': {'northeast': {'lat': 38.71868447989272, 'lng': -9.120444120107278}, 'southwest': {'lat': 38.71598482010728, 'lng': -9.123143779892722}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Aquário do Mirante,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116639055341858718465"">Manuel Santos Lima</a>'], 'photo_reference': 'AeJbb3cFM_bi62r5U3ma2N7KuY2Ag5u1llgTL1-m-U_AYnQU2VGrLWZYE_p76XZB4CGqumS9PJumaAXkvs8ASyHGgYM_7Z-vVWh2JoaoOXREEbjkz4GYg4T3ddTamGXH-KGwIcy2_NaEE6sEA4OY7UUJVtQ4oTkuVk6r5Blfrw7aJYaHYzoN', 'width': 4608}]",ChIJN0YeHvUzGQ0RGNhGmFIKO0I,"{'compound_code': 'PV8H+W7 Lisbon', 'global_code': '8CCGPV8H+W7'}",4.4,ChIJN0YeHvUzGQ0RGNhGmFIKO0I,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",47,"R. Mirante 57, Lisboa"
16,OPERATIONAL,"{'location': {'lat': 38.7793182, 'lng': -9.1610099}, 'viewport': {'northeast': {'lat': 38.78063102989272, 'lng': -9.159653770107278}, 'southwest': {'lat': 38.77793137010728, 'lng': -9.162353429892722}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Spazio Animal - Ameixoeira,{'open_now': True},"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113753925857716205393"">A Google User</a>'], 'photo_reference': 'AeJbb3dX92tJS6PDVOUVKyNuNM926oadQ--SVKh5hqyF3Mid2M31j_3DOkXO8XPhabMrzGIS_CxeEfRCaf17AUT9J587_i80cf9jkgvdleY4Rp_hE7o3jkte4HvTeZCXx7BHU426lzwsSgjJcbqGF4X1hwvmzRXPAhwachFQW6Yl83C-zZEF', 'width': 512}]",ChIJwQrYvKAzGQ0RpKA_NbtXDHU,"{'compound_code': 'QRHQ+PH Lisbon', 'global_code': '8CCGQRHQ+PH'}",0.0,ChIJwQrYvKAzGQ0RpKA_NbtXDHU,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",0,"R. Jorge de Sena, Lisboa"
17,OPERATIONAL,"{'location': {'lat': 38.761799, 'lng': -9.2321405}, 'viewport': {'northeast': {'lat': 38.76311832989273, 'lng': -9.230777920107279}, 'southwest': {'lat': 38.76041867010728, 'lng': -9.233477579892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Tuacano & Bulldog,,,ChIJ616nn2vNHg0RbVqCR7g-vUY,"{'compound_code': 'QQ69+P4 Amadora', 'global_code': '8CCGQQ69+P4'}",0.0,ChIJ616nn2vNHg0RbVqCR7g-vUY,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",0,"Praceta Eng. Alves da Costa 1, Amadora"
18,OPERATIONAL,"{'location': {'lat': 38.7514231, 'lng': -9.143393999999999}, 'viewport': {'northeast': {'lat': 38.75280912989273, 'lng': -9.141944620107278}, 'southwest': {'lat': 38.75010947010728, 'lng': -9.144644279892722}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Pet Roma,{'open_now': True},"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118239310615778620529"">Miguel Fonseca</a>'], 'photo_reference': 'AeJbb3e27xMOIMR9_TDDTdS1u8WnW8mWKOD4rnByjsSBNPr_KdxNQYjYrw5ut4sCS21kcVIZmbKc33HJAMsGcYoF54acZrNGjxs25eHfGL0Vl1earA02QiclN66CqWKu0GfVibkChCKI03Vh6Uhb2YJEBrw4HjDs4mLlrj1Yg7_NhzkB2Pvi', 'width': 3072}]",ChIJpX2GjOczGQ0R3VZ456NDA-A,"{'compound_code': 'QV24+HJ Lisbon', 'global_code': '8CCGQV24+HJ'}",5.0,ChIJpX2GjOczGQ0R3VZ456NDA-A,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",5,"Av. de Roma 87B, Lisboa"
19,OPERATIONAL,"{'location': {'lat': 38.7368122, 'lng': -9.130425299999999}, 'viewport': {'northeast': {'lat': 38.73816202989272, 'lng': -9.129067170107277}, 'southwest': {'lat': 38.73546237010728, 'lng': -9.13176682989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Petracoes,{'open_now': True},"[{'height': 384, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108173803417778700742"">Petracoes</a>'], 'photo_reference': 'AeJbb3ch4Y_K5fb7LEbPerRIvWI_q9DsnU_D7uoUini-ZDnSHJvip3ZM2VIRfYRE7OWYx-zmdatIGJ6pu4qPTTJnL7RquO6U6NuJPqFP3q8LCfysYaN-5QvalAAeEq2ajEvQILWeegj5fMiJ63bP0CSYrElXBPtkHq4aUygkCXZ2kalSJlTx', 'width': 512}]",ChIJZecuuL0zGQ0RGzPGQWKWetg,"{'compound_code': 'PVP9+PR Lisbon', 'global_code': '8CCGPVP9+PR'}",4.7,ChIJZecuuL0zGQ0RGzPGQWKWetg,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",35,"Alameda Dom Afonso Henriques Nº11A, Lisboa"
